,house_id,image,objects,probabilities
5,464,5062d70bc68c4ffe16b868a16251b56264bbe89e.jpg,car,0.6862881779670715
0,465,387becdd6dd328aea62607e616e7fb12314c2bbb.jpg,car,0.9988764524459839
1,465,387becdd6dd328aea62607e616e7fb12314c2bbb.jpg,car,0.9973013997077942
2,465,387becdd6dd328aea62607e616e7fb12314c2bbb.jpg,car,0.9787518382072449
3,465,387becdd6dd328aea62607e616e7fb12314c2bbb.jpg,car,0.9505500197410583
4,465,387becdd6dd328aea62607e616e7fb12314c2bbb.jpg,car,0.9298011660575867
5,465,387becdd6dd328aea62607e616e7fb12314c2bbb.jpg,car,0.6299182176589966
0,468,6940c8d44c6834c7cf5641712693066aaf7ed76d.jpg,person,0.9893797636032104
1,468,6940c8d44c6834c7cf5641712693066aaf7ed76d.jpg,person,0.981571614742279
2,468,6940c8d44c6834c7cf5641712693066aaf7ed76d.jpg,person,0.980841338634491
3,468,6940c8d44c6834c7cf5641712693066aaf7ed76d.jpg,person,0.9369842410087585
4,468,6940c8d44c6834c7cf5641712693066aaf7ed76d.jpg,person,0.8511189222335815
5,468,6940c8d44c6834c7cf5641712693066aaf7ed76d.jpg,traffic light,0.5264946818351746
0,470,59148147d1067168b13ace7aadc4d42fa9dcab5a.jpg,pottedplant,0.6693068146705627
1,470,59148147d1067168b13ace7aadc4d42fa9dcab5a.jpg,pottedplant,0.5461126565933228
2,470,59148147d1067168b13ace7aadc4d42fa9dcab5a.jpg,pottedplant,0.5359830856323242
0,471,4ab43d0d4ec47d0a000fc510e4d399fe87a5a160.jpg,car,0.8892948031425476
0,474,8e19656e0c1695a329b1817131028cd473954478.jpg,car,0.998964250087738
1,474,8e19656e0c1695a329b1817131028cd473954478.jpg,car,0.9764586687088013
2,474,8e19656e0c1695a329b1817131028cd473954478.jpg,motorbike,0.8260952830314636
3,474,8e19656e0c1695a329b1817131028cd473954478.jpg,motorbike,0.7808606624603271
0,475,e905e4c6bd07cfa26dfb61e18fa5244b15a4d02b.jpg,pottedplant,0.625974178314209
0,476,202f651f4ca657255a7ffeb6880f4e849ed17a69.jpg,car,0.9987172484397888
1,476,202f651f4ca657255a7ffeb6880f4e849ed17a69.jpg,car,0.9899610877037048
2,476,202f651f4ca657255a7ffeb6880f4e849ed17a69.jpg,car,0.9763330221176147
3,476,202f651f4ca657255a7ffeb6880f4e849ed17a69.jpg,bicycle,0.9532754421234131
4,476,202f651f4ca657255a7ffeb6880f4e849ed17a69.jpg,person,0.8467230200767517
0,477,e2dcad96d7c8c869529182681950422cd8d60f9b.jpg,car,0.9517856240272522
0,478,e9ed1a9eb41784b0cfd63e615cfe373c7643027b.jpg,car,0.8184261918067932
0,481,0c31a96bea2063fb4722c101711e6374167273d3.jpg,person,0.9971928596496582
1,481,0c31a96bea2063fb4722c101711e6374167273d3.jpg,person,0.9926536083221436
2,481,0c31a96bea2063fb4722c101711e6374167273d3.jpg,bird,0.8982411026954651
3,481,0c31a96bea2063fb4722c101711e6374167273d3.jpg,bird,0.8956511616706848
4,481,0c31a96bea2063fb4722c101711e6374167273d3.jpg,bird,0.8910974264144897
5,481,0c31a96bea2063fb4722c101711e6374167273d3.jpg,bird,0.8692284226417542
6,481,0c31a96bea2063fb4722c101711e6374167273d3.jpg,bird,0.8546348810195923
7,481,0c31a96bea2063fb4722c101711e6374167273d3.jpg,bird,0.7883572578430176
8,481,0c31a96bea2063fb4722c101711e6374167273d3.jpg,bird,0.7790133357048035
9,481,0c31a96bea2063fb4722c101711e6374167273d3.jpg,bird,0.7525429129600525
10,481,0c31a96bea2063fb4722c101711e6374167273d3.jpg,car,0.6601995825767517
11,481,0c31a96bea2063fb4722c101711e6374167273d3.jpg,fire hydrant,0.6336549520492554
12,481,0c31a96bea2063fb4722c101711e6374167273d3.jpg,bird,0.5211896300315857
0,484,5bae61973e22a61a466aeeabde2796709db33211.jpg,pottedplant,0.7677665948867798
1,484,5bae61973e22a61a466aeeabde2796709db33211.jpg,pottedplant,0.5065208077430725
0,485,b329911cdaf68116629532dd9854f1f40182597f.jpg,sofa,0.9918227791786194
1,485,b329911cdaf68116629532dd9854f1f40182597f.jpg,sofa,0.953273594379425
2,485,b329911cdaf68116629532dd9854f1f40182597f.jpg,tvmonitor,0.8462151885032654
0,487,985b237728049c5d64b06e02b2fa0f8215d39f01.jpg,car,0.9987362623214722
1,487,985b237728049c5d64b06e02b2fa0f8215d39f01.jpg,car,0.9811822772026062
2,487,985b237728049c5d64b06e02b2fa0f8215d39f01.jpg,bicycle,0.9356682300567627
3,487,985b237728049c5d64b06e02b2fa0f8215d39f01.jpg,car,0.9288148283958435
4,487,985b237728049c5d64b06e02b2fa0f8215d39f01.jpg,car,0.9201886057853699
5,487,985b237728049c5d64b06e02b2fa0f8215d39f01.jpg,car,0.878271222114563
6,487,985b237728049c5d64b06e02b2fa0f8215d39f01.jpg,car,0.8679767847061157
7,487,985b237728049c5d64b06e02b2fa0f8215d39f01.jpg,car,0.7038723230361938
0,488,3c5f94913b1b6d0ca795d3d1c070c49eff55e52e.jpg,car,0.9940459132194519
1,488,3c5f94913b1b6d0ca795d3d1c070c49eff55e52e.jpg,person,0.9838086366653442
2,488,3c5f94913b1b6d0ca795d3d1c070c49eff55e52e.jpg,person,0.9631754159927368
3,488,3c5f94913b1b6d0ca795d3d1c070c49eff55e52e.jpg,person,0.9515081644058228
4,488,3c5f94913b1b6d0ca795d3d1c070c49eff55e52e.jpg,person,0.9137844443321228
5,488,3c5f94913b1b6d0ca795d3d1c070c49eff55e52e.jpg,person,0.8589867949485779
6,488,3c5f94913b1b6d0ca795d3d1c070c49eff55e52e.jpg,car,0.7193340063095093
7,488,3c5f94913b1b6d0ca795d3d1c070c49eff55e52e.jpg,person,0.6996335387229919
8,488,3c5f94913b1b6d0ca795d3d1c070c49eff55e52e.jpg,car,0.6723153591156006
0,489,ff2578f9e44bfd0a8ea2c98db875fec708d27896.jpg,car,0.9927235245704651
1,489,ff2578f9e44bfd0a8ea2c98db875fec708d27896.jpg,person,0.9798552989959717
2,489,ff2578f9e44bfd0a8ea2c98db875fec708d27896.jpg,person,0.9434724450111389
3,489,ff2578f9e44bfd0a8ea2c98db875fec708d27896.jpg,person,0.9425360560417175
4,489,ff2578f9e44bfd0a8ea2c98db875fec708d27896.jpg,bicycle,0.9130304455757141
5,489,ff2578f9e44bfd0a8ea2c98db875fec708d27896.jpg,bicycle,0.7936854958534241
6,489,ff2578f9e44bfd0a8ea2c98db875fec708d27896.jpg,bicycle,0.7323148846626282
7,489,ff2578f9e44bfd0a8ea2c98db875fec708d27896.jpg,bicycle,0.7297303080558777
8,489,ff2578f9e44bfd0a8ea2c98db875fec708d27896.jpg,motorbike,0.6132645606994629
0,491,a11f650f33595bf563228cc8a77debe2ac62a7a8.jpg,motorbike,0.6233291625976562
1,491,a11f650f33595bf563228cc8a77debe2ac62a7a8.jpg,bicycle,0.5279304385185242
0,492,25d6a81c8c735eded20f8df1402ae4c86f2efcc3.jpg,car,0.9940459132194519
1,492,25d6a81c8c735eded20f8df1402ae4c86f2efcc3.jpg,person,0.9838086366653442
2,492,25d6a81c8c735eded20f8df1402ae4c86f2efcc3.jpg,person,0.9631754159927368
3,492,25d6a81c8c735eded20f8df1402ae4c86f2efcc3.jpg,person,0.9515081644058228
4,492,25d6a81c8c735eded20f8df1402ae4c86f2efcc3.jpg,person,0.9137844443321228
5,492,25d6a81c8c735eded20f8df1402ae4c86f2efcc3.jpg,person,0.8589867949485779
6,492,25d6a81c8c735eded20f8df1402ae4c86f2efcc3.jpg,car,0.7193340063095093
7,492,25d6a81c8c735eded20f8df1402ae4c86f2efcc3.jpg,person,0.6996335387229919
8,492,25d6a81c8c735eded20f8df1402ae4c86f2efcc3.jpg,car,0.6723153591156006
0,493,623547f28181eb1e761f94e6fe6f0f2e3630224b.jpg,person,0.9976860284805298
1,493,623547f28181eb1e761f94e6fe6f0f2e3630224b.jpg,person,0.9937150478363037
2,493,623547f28181eb1e761f94e6fe6f0f2e3630224b.jpg,car,0.9632799625396729
3,493,623547f28181eb1e761f94e6fe6f0f2e3630224b.jpg,bird,0.6021181344985962
4,493,623547f28181eb1e761f94e6fe6f0f2e3630224b.jpg,bird,0.5735675096511841
5,493,623547f28181eb1e761f94e6fe6f0f2e3630224b.jpg,bird,0.5085897445678711
0,494,33d34eee69479e18c101fc8130dd5530a624fcd8.jpg,car,0.9870140552520752
0,495,95554a8105751e3f511f75aa440f4529c4af596c.jpg,car,0.9952002763748169
1,495,95554a8105751e3f511f75aa440f4529c4af596c.jpg,person,0.9079359173774719
2,495,95554a8105751e3f511f75aa440f4529c4af596c.jpg,car,0.8916347026824951
3,495,95554a8105751e3f511f75aa440f4529c4af596c.jpg,car,0.5943883657455444
4,495,95554a8105751e3f511f75aa440f4529c4af596c.jpg,car,0.5495061874389648
0,496,b43c1328e6faf61e171c65f3a4b2bc69aee98105.jpg,person,0.9925935864448547
1,496,b43c1328e6faf61e171c65f3a4b2bc69aee98105.jpg,person,0.9821498990058899
2,496,b43c1328e6faf61e171c65f3a4b2bc69aee98105.jpg,person,0.858497142791748
0,497,f1ff204e6d66e1e690e2595f79114012f0a33a6a.jpg,car,0.983004629611969
1,497,f1ff204e6d66e1e690e2595f79114012f0a33a6a.jpg,car,0.9787202477455139
2,497,f1ff204e6d66e1e690e2595f79114012f0a33a6a.jpg,car,0.8212841153144836
3,497,f1ff204e6d66e1e690e2595f79114012f0a33a6a.jpg,car,0.8089165091514587
4,497,f1ff204e6d66e1e690e2595f79114012f0a33a6a.jpg,bird,0.5129117369651794
5,497,f1ff204e6d66e1e690e2595f79114012f0a33a6a.jpg,bird,0.5046989321708679
0,498,7829965e20b34ea2b8f0246f975d80f43f05c866.jpg,car,0.9837222099304199
1,498,7829965e20b34ea2b8f0246f975d80f43f05c866.jpg,car,0.9383542537689209
2,498,7829965e20b34ea2b8f0246f975d80f43f05c866.jpg,person,0.9136196374893188
3,498,7829965e20b34ea2b8f0246f975d80f43f05c866.jpg,person,0.8813215494155884
4,498,7829965e20b34ea2b8f0246f975d80f43f05c866.jpg,bird,0.8133355975151062
5,498,7829965e20b34ea2b8f0246f975d80f43f05c866.jpg,boat,0.7800294160842896
6,498,7829965e20b34ea2b8f0246f975d80f43f05c866.jpg,bird,0.7142955660820007
7,498,7829965e20b34ea2b8f0246f975d80f43f05c866.jpg,bird,0.6886400580406189
8,498,7829965e20b34ea2b8f0246f975d80f43f05c866.jpg,bird,0.5250131487846375
0,499,cd26f01bd6cd8f280aae014c58be0c4b21cd09c7.jpg,person,0.9976860284805298
1,499,cd26f01bd6cd8f280aae014c58be0c4b21cd09c7.jpg,person,0.9937150478363037
2,499,cd26f01bd6cd8f280aae014c58be0c4b21cd09c7.jpg,car,0.9632799625396729
3,499,cd26f01bd6cd8f280aae014c58be0c4b21cd09c7.jpg,bird,0.6021181344985962
4,499,cd26f01bd6cd8f280aae014c58be0c4b21cd09c7.jpg,bird,0.5735675096511841
5,499,cd26f01bd6cd8f280aae014c58be0c4b21cd09c7.jpg,bird,0.5085897445678711
